=== SHEET: Mapeamento Entrega As Built ===
Total rows: 332

HEADERS: ["Número","Data","Entrega","Responsável","Edificação","Disciplina","Arquivo Entregue","Formato","Modelo?","Modelo Base","Modelo Final","Observações","Ação","Coluna5","Coluna2","Coluna3","Coluna1"]

ROW 1: [1,45771,"001. SM 17 - 24.04.2025","OCLE","Prédio Produção","Instalações Elétricas","NEO-23001-AB-ELE-001-MOD PRODUCAO-R03","rvt","Sim","NEO-23001-PE-ELE-001-MOD PRODUCAO-R03","NEO-23001-AS-ELE-001-PROD1-R00","","","","","",""]
ROW 2: [2,45771,"001. SM 17 - 24.04.2025","OCLE","Prédio Produção","CFTV e Lógica","NEO-23001-AB-LOG-001-MOD PRODUCAO-R00","rvt","Sim","NEO-23001-PE-LOG-001-MOD PRODUCAO-R00","NEO-23001-AS-LOG-001-PROD1-R00","","","","","",""]
ROW 3: [3,45771,"001. SM 17 - 24.04.2025","OCLE","Prédio Produção","PCI","NEO-23001-PE-PCI-MO-002-SPRINKLER-R16","rvt","Sim","NEO-23001-PE-16-PCI-MO-002-R16","NEO-23001-AS-PCI-001-PROD1-R00","","","","","",""]
ROW 4: [4,45777,"002. SM 18 - 30.04.2025","OCLE","Prédio Produção","Instalações Elétricas","NEO-23001-PE-ELE-001-MOD PRODUCAO-R03","rvt","Sim","NEO-23001-PE-ELE-001-MOD PRODUCAO-R03","NEO-23001-AS-ELE-001-PROD1-R00","","","","","",""]
ROW 5: [5,45777,"002. SM 18 - 30.04.2025","OCLE","Prédio Produção","PCI","NEO-23001-PE-PCI-MO-002-SPRINKLER-R16","rvt","Sim","NEO-23001-PE-16-PCI-MO-002-R16","NEO-23001-AS-PCI-001-PROD1-R00","","","","","",""]
ROW 6: [6,45799,"003. SM 21 - 22.05.2025","OCLE","Prédio Produção","Instalações Elétricas","NEO-23001-AS-ELE-001-MOD PRODUCAO 22.05-R03","rvt","Sim","NEO-23001-PE-ELE-001-MOD PRODUCAO-R03","NEO-23001-AS-ELE-001-PROD1-R00","","","","","",""]
ROW 7: [7,45799,"003. SM 21 - 22.05.2025","OCLE","Prédio Produção","CFTV e Lógica","NEO-23001-AS-LOG-001-MOD PRODUCAO 22.05-R01","rvt","Sim","NEO-23001-PE-LOG-001-MOD PRODUCAO-R01","NEO-23001-AS-LOG-001-PROD1-R00","","","","","",""]
ROW 8: [8,45799,"003. SM 21 - 22.05.2025","OCLE","Prédio Produção","PCI","NEO-23001-AS-PCI-MO-002-SPRINKLER 22.05-R16","rvt","Sim","NEO-23001-PE-16-PCI-MO-002-R16","NEO-23001-AS-PCI-001-PROD1-R00","","","","","",""]
ROW 9: [9,45799,"003. SM 21 - 22.05.2025","OCLE","Prédio Produção","Climatização","NEO-23001-PE-CLI 22.05-000-R18","rvt","Sim","NEO-23001-PE-CLI-000-R18","NEO-23001-AS-CLI-001-PROD1-R00","","","","","",""]
ROW 10: [10,45799,"003. SM 21 - 22.05.2025","OCLE","Prédio Produção","SDAI","NEO-23001-AS-SDA-003-MOD PRODUCAO 22.05-R03","rvt","Sim","NEO-23001-PE-SDA-003-MOD PRODUCAO-R03","NEO-23001-AS-SDA-001-PROD1-R00","","","","","",""]
ROW 11: [11,45813,"004. SM 23 - 05.06.2025","OCLE","Prédio Produção","Instalações Elétricas","NEO-23001-AS-ELE-001-MOD PRODUCAO 05.06-R03","rvt","Sim","NEO-23001-PE-ELE-001-MOD PRODUCAO-R03","NEO-23001-AS-ELE-001-PROD1-R00","","","","","",""]
ROW 12: [12,45813,"004. SM 23 - 05.06.2025","OCLE","Prédio Suporte","Instalações Elétricas","NEO-23001-AS-ELE-001-MOD SUPORTE 05.06-R00","rvt","Sim","NEO-23001-PE-ELE-001-MOD SUPORTE-R00","NEO-23001-AS-ELE-001-SUPO1-R00","","","","","",""]
